comp,5 0 0,4 1 0,4 0 1,3 2 0,3 1 1,3 0 2,2 3 0,2 2 1,2 1 2,2 0 3,1 4 0,1 3 1,1 2 2,1 1 3,1 0 4,0 5 0,0 4 1,0 3 2,0 2 3,0 1 4,0 0 5
5 0 0,0.5,0.435143,0.350263,0.382557,0.287456,0.157895,0.336313,0.237113,0.161458,0.051724,0.240678,0.19171,0.104839,0.070423,0.037037,0.140351,0.138889,0.114286,0.097561,0.125,0.0
4 1 0,0.564857,0.5,0.420722,0.417339,0.361991,0.274419,0.386523,0.314861,0.2,0.108911,0.301887,0.242588,0.201439,0.081633,0.102941,0.227273,0.158333,0.150442,0.060345,0.116667,0.038462
4 0 1,0.649737,0.579278,0.5,0.544898,0.476596,0.386667,0.466135,0.362445,0.293103,0.25,0.351852,0.304348,0.220339,0.211765,0.060606,0.225806,0.222222,0.140351,0.021739,0.181818,0.047619
3 2 0,0.617443,0.582661,0.455102,0.5,0.43787,0.328205,0.416361,0.343678,0.247086,0.156522,0.3584,0.294455,0.231884,0.149798,0.108434,0.340426,0.174194,0.169811,0.140351,0.084034,0.030303
3 1 1,0.712544,0.638009,0.523404,0.56213,0.5,0.454545,0.524957,0.411552,0.342466,0.281818,0.412811,0.37741,0.318296,0.203187,0.111111,0.340426,0.302158,0.284884,0.2,0.123188,0.0625
3 0 2,0.842105,0.725581,0.613333,0.671795,0.545455,0.5,0.607595,0.47619,0.443662,0.326087,0.608108,0.454545,0.417722,0.247312,0.163636,0.470588,0.466667,0.303371,0.2,0.166667,0.137255
2 3 0,0.663687,0.613477,0.533865,0.583639,0.475043,0.392405,0.5,0.438838,0.304598,0.247191,0.398323,0.340278,0.281095,0.209091,0.101124,0.384,0.329032,0.213415,0.147368,0.06875,0.040541
2 2 1,0.762887,0.685139,0.637555,0.656322,0.588448,0.52381,0.561162,0.5,0.40198,0.365385,0.492212,0.456364,0.341241,0.271429,0.230303,0.402299,0.396226,0.312865,0.247956,0.135294,0.088889
2 1 2,0.838542,0.8,0.706897,0.752914,0.657534,0.556338,0.695402,0.59802,0.5,0.403226,0.576471,0.564593,0.477099,0.351899,0.312849,0.463768,0.467105,0.365188,0.30491,0.253264,0.128514
2 0 3,0.948276,0.891089,0.75,0.843478,0.718182,0.673913,0.752809,0.634615,0.596774,0.5,0.686567,0.65035,0.54902,0.445026,0.324324,0.777778,0.657534,0.551471,0.495,0.321267,0.169492
1 4 0,0.759322,0.698113,0.648148,0.6416,0.587189,0.391892,0.601677,0.507788,0.423529,0.313433,0.5,0.461538,0.336032,0.271676,0.117647,0.360656,0.343137,0.274194,0.234177,0.130435,0.0875
1 3 1,0.80829,0.757412,0.695652,0.705545,0.62259,0.545455,0.659722,0.543636,0.435407,0.34965,0.538462,0.5,0.410619,0.37619,0.215909,0.506849,0.450495,0.396396,0.298122,0.185273,0.078947
1 2 2,0.895161,0.798561,0.779661,0.768116,0.681704,0.582278,0.718905,0.658759,0.522901,0.45098,0.663968,0.589381,0.5,0.385196,0.297214,0.494118,0.515504,0.443798,0.34153,0.244558,0.138796
1 1 3,0.929577,0.918367,0.788235,0.850202,0.796813,0.752688,0.790909,0.728571,0.648101,0.554974,0.728324,0.62381,0.614804,0.5,0.39267,0.684932,0.641593,0.529297,0.440936,0.320975,0.204439
1 0 4,0.962963,0.897059,0.939394,0.891566,0.888889,0.836364,0.898876,0.769697,0.687151,0.675676,0.882353,0.784091,0.702786,0.60733,0.5,0.828571,0.752066,0.601563,0.609615,0.45034,0.29805
0 5 0,0.859649,0.772727,0.774194,0.659574,0.659574,0.529412,0.616,0.597701,0.536232,0.222222,0.639344,0.493151,0.505882,0.315068,0.171429,0.5,0.464286,0.360656,0.328358,0.188406,0.042553
0 4 1,0.861111,0.841667,0.777778,0.825806,0.697842,0.533333,0.670968,0.603774,0.532895,0.342466,0.656863,0.549505,0.484496,0.358407,0.247934,0.535714,0.5,0.40107,0.28223,0.228571,0.125
0 3 2,0.885714,0.849558,0.859649,0.830189,0.715116,0.696629,0.786585,0.687135,0.634812,0.448529,0.725806,0.603604,0.556202,0.470703,0.398438,0.639344,0.59893,0.5,0.371069,0.300265,0.186495
0 2 3,0.902439,0.939655,0.978261,0.859649,0.8,0.8,0.852632,0.752044,0.69509,0.505,0.765823,0.701878,0.65847,0.559064,0.390385,0.671642,0.71777,0.628931,0.5,0.371155,0.256757
0 1 4,0.875,0.883333,0.818182,0.915966,0.876812,0.833333,0.93125,0.864706,0.746736,0.678733,0.869565,0.814727,0.755442,0.679025,0.54966,0.811594,0.771429,0.699735,0.628845,0.5,0.337954
0 0 5,1.0,0.961538,0.952381,0.969697,0.9375,0.862745,0.959459,0.911111,0.871486,0.830508,0.9125,0.921053,0.861204,0.795561,0.70195,0.957447,0.875,0.813505,0.743243,0.662046,0.5
